Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22u,C_0805_2012Metric,134.15,-92.6,0,Top
C2,22u,C_0805_2012Metric,138.684,-97.094,90,Top
C3,10u,C_0603_1608Metric,122.428,-81.788,0,Top
C4,100n,C_0402_1005Metric,122.654,-95.5,0,Top
C5,10p,C_0402_1005Metric,117.094,-86.642,90,Top
C6,100n,C_0402_1005Metric,127.635,-95.631,180,Top
C7,100n,C_0402_1005Metric,131.064,-86.868,-90,Top
C8,100n,C_0402_1005Metric,119.126,-85.951,90,Top
C9,10p,C_0402_1005Metric,117.094,-88.702,90,Top
C10,100n,C_0402_1005Metric,122.42,-83.4,0,Top
C11,10n,C_0402_1005Metric,118.872,-90.452,90,Top
C12,1u,C_0402_1005Metric,117.32,-94.1832,180,Top
C13,1u,C_0402_1005Metric,117.348,-95.504,180,Top
D1,RED,LED_0603_1608Metric,141.5,-97.65,-90,Top
FB1,120R,L_0603_1608Metric,119.352,-94.996,-90,Top
J1,Conn_01x04_Male,PinHeader_1x04_P2.00mm_Vertical,123.8692,-72.7964,-90,Top
J2,Conn_01x04_Male,PinHeader_1x04_P2.00mm_Vertical,120.46,-103.378,90,Top
J3,Conn_01x04_Male,PinHeader_1x04_P2.00mm_Vertical,133.4692,-72.7964,-90,Top
J4,USB_B_Micro,USB_Micro-B_Molex_47346-0001,141.231,-88.138,90,Top
R1,1k5,R_0402_1005Metric,142.0368,-94.9452,0,Top
R2,1k5,R_0402_1005Metric,123.823,-97.409,180,Top
R3,1k5,R_0402_1005Metric,126.0094,-97.409,0,Top
R4,10k,R_0402_1005Metric,112.014,-81.536,90,Top
R5,1k5,R_0402_1005Metric,134.366,-87.374,90,Top
SW1,SW_SPDT,SW_SPDT_PCM12,108.6028,-82.1288,-90,Top
U1,AMS1117-3.3,SOT-223-3_TabPin2,134,-98.15,-90,Top
U2,STM32F103C8T6,LQFP-48_7x7mm_P0.5mm,124.968,-89.408,0,Top
Y1,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,113.912,-86.688,-90,Top
