Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","C_0805_2012Metric",134.150000,-92.600000,0.000000,top
"C2","22u","C_0805_2012Metric",138.684000,-97.094000,90.000000,top
"C3","10u","C_0603_1608Metric",122.428000,-81.788000,0.000000,top
"C4","100n","C_0402_1005Metric",122.654000,-95.500000,0.000000,top
"C5","10p","C_0402_1005Metric",117.094000,-86.642000,90.000000,top
"C6","100n","C_0402_1005Metric",127.635000,-95.631000,180.000000,top
"C7","100n","C_0402_1005Metric",131.064000,-86.868000,-90.000000,top
"C8","100n","C_0402_1005Metric",119.126000,-85.951000,90.000000,top
"C9","10p","C_0402_1005Metric",117.094000,-88.702000,90.000000,top
"C10","100n","C_0402_1005Metric",122.420000,-83.400000,0.000000,top
"C11","10n","C_0402_1005Metric",118.872000,-90.452000,90.000000,top
"C12","1u","C_0402_1005Metric",117.320000,-94.183200,180.000000,top
"C13","1u","C_0402_1005Metric",117.348000,-95.504000,180.000000,top
"D1","RED","LED_0603_1608Metric",141.500000,-97.650000,-90.000000,top
"FB1","120R","L_0603_1608Metric",119.352000,-94.996000,-90.000000,top
"J1","Conn_01x04_Male","PinHeader_1x04_P2.00mm_Vertical",123.869200,-72.796400,-90.000000,top
"J2","Conn_01x04_Male","PinHeader_1x04_P2.00mm_Vertical",120.460000,-103.378000,90.000000,top
"J3","Conn_01x04_Male","PinHeader_1x04_P2.00mm_Vertical",133.469200,-72.796400,-90.000000,top
"J4","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",141.231000,-88.138000,90.000000,top
"R1","1k5","R_0402_1005Metric",142.036800,-94.945200,0.000000,top
"R2","1k5","R_0402_1005Metric",123.823000,-97.409000,180.000000,top
"R3","1k5","R_0402_1005Metric",126.009400,-97.409000,0.000000,top
"R4","10k","R_0402_1005Metric",112.014000,-81.536000,90.000000,top
"R5","1k5","R_0402_1005Metric",134.366000,-87.374000,90.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",108.602800,-82.128800,-90.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",134.000000,-98.150000,-90.000000,top
"U2","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",124.968000,-89.408000,0.000000,top
"Y1","Crystal_GND24","Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering",113.912000,-86.688000,-90.000000,top
